백마김씨네 도곡본점,0.8,0.2,15,12,3,"맛있어요  부모님 모시러, 정식 맛있어요, 맛있어요  부모님, 직원들의 친절한 응대가, 직원들의 친절한, 정갈한 음식과 변치, 항상 정갈한, 정갈한 음식과, 너무 맛있어요, 맛있어요   모임하기도, 맛있어서 추석때 집에, 너무 맛있어서, 맛있어서 추석때, 샤브집중 최고였네요, 최고였네요 보리굴비도, 사장님 너무 친절하세요, 맛있어서 집에 식구들, 진짜 맛있고, 너무 맛있어서, 맛있어서 집에, 정식 맛있었어요, 맛있는 음식  깨끗한, 음식과 맛있는, 맛있는 음식, 늘 정갈하고, 최고예요 
양념갈비랑 보리굴비, 가본곳중 최고예요, 최고예요 
양념갈비랑, 고기 맛있어요, 맛은 있었어요, 맛있어여 반찬도","음식과 변치 않는, 맛 특별함 없고, 서비스가 최악이라 너무, 서비스가 최악이라","사장, 직원, 맛","음식, 서비스, 맛"
하동관 강남분점,0.4117647058823529,0.5882352941176471,17,7,10,"고소한 내포     짚고, 씹을수록 고소한, 고소한 내포, 설렁탕 최고집이였는데, 맛있습니다 곰탕 이상의, 그대로 맛있습니다, 맛있습니다 곰탕, 맛있는 음식을 먹으러, 배고파서 맛있는, 맛있는 음식을, 신선설농탕이나 가야겠다 이제, 신선설농탕이나 가야겠다, 맛있던 집  아, 가장 맛있던, 맛있던 집, 맛은 있는데, 맛있다  아   깍두기, 맛있다  아","음식상태가 안좋습니다  코로나로, 음식상태가 안좋습니다, 맛이납니다    절대안갑니다, 맛이 안남, 그와중에 맛없음, 맛집 예전맛이 아니네요, 김치마저 맛없음, 음식맛은 아니에요  재방문은, 안할듯  음식점을, 음식맛은 아니에요, 맛은 아니에요  재방문은, 맛은 아니에요, 맛집은 많다오   안가면, 맛이 진하지않아요
맛이, 진하지않아요
맛이, 맛이 진하지않아요, 음식이 뜨겁지가 않고, 맛없네요   별 하나도, 진짜로 맛없네요, 맛없네요   별",맛,"음식, 맛"
의령전원,1.0,0.0,3,3,0,"서비스 육회는 최고네요, 맛있는  집으로 밥먹고, 우리에게는 맛있는, 맛있는  집으로, 맛있는 밥집, 육회는 최고네요, 최고네요 삼겹살도",,"서비스, 맛",
반룡산,0.7619047619047619,0.23809523809523808,21,16,5,"욕나온다  맛있다고, 맛있어요 가까이에 있었다면, 다 맛있어요, 맛있어요 가까이에, 만두 맛있음, 최고예요    특히 비냉, 최고예요    특히, 시원하니 맛있네요, 맛은 좋았지만, 너무 맛있다, 맛있다    만두도, 맛있네요   발렛주차돼요, 깍두기는 맛있고, 국물은 맛있으며, 맛있었다  다음에는 회냉면을, 맛있었다  다음에는, 함흥음식 맛있음, 다시 방문해 여러개, 맛있는 국밥 
갈비탕의, 나름 맛있게, 맛있는 국밥, 가릿국밥 맛있음, 최고의육수  훌륭한 재료, 최고의육수  훌륭한, 정말 맛있고, 순으로 맛있었음","서비스는 별로고, 굳이 여기까지 갈까",맛,서비스
진대감 선릉점,0.9,0.1,60,54,6,"사장님 친절하세요 단골임, 사장님 친절하세요, 너무 맛있습니다, 맛있습니다    친절하시고요, 맛있습니다 생일 기념, 맛있습니다 생일, 너무 맛있어요, 맛있어요   사장님도, 맛있어요 사장님 적게, 진짜 맛있어요, 맛있어요   사장님도, 맛있어요 사장님, 직원분들이 친절하게, 맛있어서 정말 자주, 너무 맛있어서, 맛있어서 정말, 맛있는건 물론이고, 맛있다  차돌박이 관자, 맛있다  차돌박이, 사장님 전부 친절, 맛있는건 기본이고, 너무 맛있습니다, 맛있습니다 강추강츄, 맛잘알 고수느낌     최고에요, 진짜 맛있게, 고수느낌     최고에요, 서비스    맛에  친절까지, 맛있게잘해주셔서 잘먹고왔습니다    재방문의사, 맛있게잘해주셔서 잘먹고왔습니다, 맛있어서 추가로 시켰는데, 볶음밥 맛있음, 아쉬움   맛있긴함, 맛있어서 추가로, 너무나 맛있어용, 맛있어용  음식도, 맛있습니다 회식 장소로도, 넘 맛있습니다, 맛있습니다 회식, 볶음밥까지 최고에요, 최고에요 고기도, 너무 맛있고, 완전 맛있고, 맛있어용   다음에 또, 완전 맛있어용, 맛있어용   다음에, 친절하셔서 맛있게, 맛볼 수 있게, 진짜맛집인정입니다  서비스도좋고, 분위기도참좋네요 맛잇게먹고가네요, 식당직원들분위기도참좋네요 맛잇게먹고가네요, 맛집인정입니다  서비스도좋고, 맛있어요 고기  구워주시며, 맛있었어요 또 먹으러, 삼합  맛있어요, 아주  맛있었어요, 맛있어요 고기, 맛있었어요 또, 넘 맛있더라고요, 맛있더라고요  사장님도, 존    맛있서, 크 맛있다, 사장님이 너무 친절하고, 사장님 조용하시고친절하세요, 맛있어욤 미모의사장님 조용하시고친절하세요, 맛있어욤 미모의사장님, 사장님이 친절하세요 한점한점, 사장님이 친절하세요, 맛있어요 단골각 입니다, 맛있게먹으면서 힐링했네요  진대감, 너무 맛있고, 너무 맛있어요, 진짜 맛있게먹으면서, 맛있어요 단골각, 맛있게먹으면서 힐링했네요, 맛있어요   최근에 먹은, 너무너무 맛있어요, 최고네요  맛집, 맛있어요   최근에, 최고네요  맛집 잘, 차돌중에 최고네요, 최고네요  맛집, 최고에요   짱 친절, 완전 최고에요, 최고에요   짱, 진짜 맛있어요, 맛있어요 친구랑도, 최고입니다  진대감 선릉점, 최고입니다  진대감, 맛있어요    고기가 살살, 완전 맛있어요, 맛있어요    고기가, 맛입니다 삼합 좋아하는, 맛있어서 다시 간곳이에요, 너무 맛있어서, 맛있어서 다시, 직원 모두 친절하시구, 너무 맛있어용, 맛있어용 최고, 사장님이 친절하고, 사장님 친절한 직원들, 사장님 친절한, 친절한 직원들, 넘친절하시구  맛은최고루맛있어요, 구워올려주시니까 맛있고, 사장님과 직원들의 친절함에, 직원들의 친절함에 한번, 직원들의 친절함에, 정말 최고에요, 맛있어요 구워주실때마다 다른조합으로, 너무 맛있어요, 맛있어요 구워주실때마다, 맛있네요  사장님이 직접, 너무 맛있네요, 맛있네요  사장님이, 맛있었어요   또 생각나는맛, 맛있었어요   또, 생각나는맛 최고에요, 맛있어용  대기가 항상, 너무 맛있어용, 다 맛있고, 너무 맛있었더라고요, 맛있어용  대기가, 맛있었더라고요    둘이서","직원분 할것 없이, 맛집 잘 안믿는데, 맛  말이 필요없는, 후회안함 사장님과, 맛을 잊을수가없네요, 안되죠
음식이","서비스, 직원, 맛, 사장, 분위기","사장, 직원, 음식, 맛"
청자골,0.7272727272727273,0.2727272727272727,11,8,3,"맛있어요 유명한 이유가, 진짜 맛있어요, 진짜 맛있어요, 맛있어요 유명한, 신선하네요 맛도, 사장님은 친절하시겠지만, 맛있습니다  또 방문할, 너무 맛있습니다, 맛있습니다  또, 최고입니다 육사시미 존맛탱, 최고입니다 육사시미, 맛있어요  한우모둠이랑 친절하게, 삼합 맛있어요, 맛있어요  한우모둠이랑, 진짜 맛있음, 반찬들은 정갈하게, 맛있었어요  다행히 애들이, 맛있었어요  다행히","서비스가 엉망이에요  주문도, 서비스가 엉망이에요, 음식 주문 못한다고, 사장이 없어서 그런지, 사장이 없어서","사장, 맛","음식, 서비스, 사장"
남산희래등,1.0,0.0,2,2,0,"최고의 중국집 인근, 대치동 최고의, 최고의 중국집, 정말 맛있습니다",,맛,
강남수랏간,1.0,0.0,1,1,0,맛있어요 양념갈비도,,맛,
최가네버섯샤브매운탕칼국수 대치점,0.8,0.2,5,4,1,"맛있네용  배 엄청, 같아용 맛있네용, 맛있네용  배, 맛있어서 한번 가면, 맛있어서 남은 국물에, 넘 맛있어서, 너무 맛있어서, 맛있어서 한번, 맛있어서 남은, 맛있어요 항상 강남이나, 너무 맛있어요, 맛있어요 항상",없는 맛집,맛,맛
창포손만두,0.8,0.2,5,4,1,"만두가 맛있었어요, 간이 딱 맞기, 간이 딱, 맛있습니다  코다리 발효, 맛있었습니다  그래서 다른, 봅니다  맛있습니다, 식감이라 맛있어요, 좋아할 맛입니다, 맛있습니다  코다리, 맛있어요  양념도, 맛있었습니다  그래서, 맛은 좋지만, 코다리 맛있었음",,"간, 맛",
