아리양,1,1,0,"맛있는 묵사발 제공되고, 맛있는 묵사발",
아리양,1,1,0,맛있어서 감사합니다,
아리양,1,1,0,"맛있는 묵사발 제공되고, 맛있는 묵사발",
아리양,1,1,0,맛있어서 감사합니다,
명동관,1,1,0,"맛있네요  담엔 가족들, 정말 맛있네요, 맛있네요  담엔",
명동관,1,1,0,괜찮네요    맛있어요,
명동관,1,1,0,기분이에요  맛있게,
명동관,1,1,0,"맛있네요 다음엔 부모님, 진짜 맛있네요, 맛있네요 다음엔",
명동관,1,1,0,"맛있어요 정성 들여, 갈비탕 맛있어요, 맛있어요 정성",
명동관,1,0,1,,
명동관,1,1,0,음식 맛있어요,
명동관,1,1,0,미숫가루는 맛있어요,
명동관,1,1,0,엄청 맛있음,
명동관,1,1,0,"통통하니 맛있음, 너무 부드럽고",
명동관,1,1,0,쫄깃 맛있음,
명동관,1,1,0,"맛있어요 국물이랑 같이, 맛있어요 국물이랑",
명동관,1,1,0,너무 맛있게,
명동관,1,1,0,"진짜 맛있게, 진짜 맛있음, 최고임  밥 슥슥, 꼬막무침이 최고임, 최고임  밥",
명동관,1,1,0,"정갈해서 맛있네요, 정갈해서 맛있네요",
명동관,1,1,0,"맛있어서 이틀연속 점심으로, 너무 맛있어서, 맛있어서 이틀연속",
명동관,1,0,1,,없이 부드럽고
명동관,1,1,0,"너무 맛있게먹었음, 신선함  육수 끓으니살아있는, 정말 신선함, 신선함  육수",
명동관,1,1,0,"정말 맛있네요, 맛있네요  비벼먹는게",
명동관,1,1,0,너무 부드럽고,
명동관,1,1,0,"아주 맛좋습니다, 맛좋습니다  다음",
명동관,1,1,0,배불리 맛있게,
명동관,1,1,0,정말 맛있게,
명동관,1,1,0,"너무 맛있었구요, 맛있었구요  찬절하고",
명동관,1,1,0,"전복 맛있게, 가서 신선하고",
명동관,1,1,0,정말 맛있게,
명동관,1,1,0,맛이 있었고,
명동관,1,1,0,"맛있었어요  자주 애용하고, 정말 맛있었어요, 맛있었어요  자주",
명동관,1,1,0,맛있었어요  다음,
명동관,1,1,0,전통있는 맛집답게,
명동관,1,1,0,"정말 맛있네요, 최고급이네요 디저트로 미숫가루슬러쉬도, 고기 최고급이네요, 최고급이네요 디저트로",
명동관,1,1,0,만두전골 맛있어요,
빕스 도곡역점,1,1,0,직원들은 친절해요,
빕스 도곡역점,1,1,0,"맛있어요 할인 받고, 진짜 맛있어요, 맛있어요 할인",
아웃백스테이크하우스 도곡점,1,1,0,직원분들 너무 친절하세요,
아웃백스테이크하우스 도곡점,2,2,0,"직원분들 너무 친절하시고, 다 맛있어요",
아웃백스테이크하우스 도곡점,1,1,0,직원분들 모두 친절합니다,
아웃백스테이크하우스 도곡점,1,0,1,,음식은 아니지만
아웃백스테이크하우스 도곡점,1,0,1,,직원들 교육을 안하는
아웃백스테이크하우스 도곡점,1,1,0,"맛있어요  스테이크 굽기에, 맛있어요  스테이크",
하동관 강남분점,1,0,1,,"음식상태가 안좋습니다  코로나로, 음식상태가 안좋습니다, 맛이납니다    절대안갑니다"
하동관 강남분점,1,0,1,,맛이 안남
하동관 강남분점,1,1,0,"고소한 내포     짚고, 씹을수록 고소한, 고소한 내포",
하동관 강남분점,1,0,1,,그와중에 맛없음
하동관 강남분점,1,1,0,설렁탕 최고집이였는데,
하동관 강남분점,1,1,0,"맛있습니다 곰탕 이상의, 그대로 맛있습니다, 맛있습니다 곰탕",
하동관 강남분점,1,0,1,,맛집 예전맛이 아니네요
하동관 강남분점,1,0,1,,김치마저 맛없음
하동관 강남분점,1,0,1,"맛있는 음식을 먹으러, 배고파서 맛있는, 맛있는 음식을","음식맛은 아니에요  재방문은, 안할듯  음식점을, 음식맛은 아니에요, 맛은 아니에요  재방문은, 맛은 아니에요"
하동관 강남분점,1,0,1,,맛집은 많다오   안가면
하동관 강남분점,1,1,0,"신선설농탕이나 가야겠다 이제, 신선설농탕이나 가야겠다",
하동관 강남분점,1,0,1,,"맛이 진하지않아요 맛이, 진하지않아요 맛이, 맛이 진하지않아요"
하동관 강남분점,1,0,1,,
하동관 강남분점,1,0,1,,"음식이 뜨겁지가 않고, 맛없네요   별 하나도, 진짜로 맛없네요, 맛없네요   별"
하동관 강남분점,1,1,0,"맛있던 집  아, 가장 맛있던, 맛있던 집",
